OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,TOTCOMM,AUTO,DRVALONE,CARPOOL,CARPL2,CARPL3,CARPL4,CARPL5OR6,CARPL7PLS,PUBLTRAN,BUSTROLL,STCARTROLL,SUBEL,RR,FERRY,TAXI,MOTORCYC,BIKE,WALK,OTHER,TELECOMM,POPOVER16,TOTEMPINFORCE,UNEMPPCT,TIMETOWK,MEDHHI,PCTFOODSNAP,PCTNOINS,PCTFAMBELPOV,TOTHU,HUOCC,HUVACANT,NOVEHN,NOVEHP,ONEVEHN,ONEVEHP,TWOVEHN,TWOVEHP,THRPLSVEHN,THRPLSVEHP,TOTPOP,TOTMALE,TOTFEM,ALLWHITE,ALLWHITEPCT,ALLBLK,ALLBLKPCT,ALLAMERIN,ALLAMERINPCT,ALLASIAN,ALLASIANPCT,ALLNATHI,ALLNATHIPCT,HISPTOT,HISPPCT
89,42,045,405000,42045405000,4050,695,404,377,27,18,9,0,0,0,207,203,0,0,4,0,0,0,0,28,0,56,1621,857,47.1,22.9,32202,42.5,18.9,23.7,959,677,282,249,36.8,279,41.2,124,18.3,25,3.7,1939,878,1061,105,5.4,1783,92,24,1.2,0,0,0,0,63,3.249097
90,42,045,410100,42045410100,4101,3984,3316,3143,173,147,26,0,0,0,58,25,0,0,33,0,0,0,13,193,59,345,6330,4257,32.7,25.6,120509,0.7,7.2,1.3,2339,2295,44,20,0.9,481,21,1255,54.7,539,23.5,7862,4109,3753,6157,78.3,1069,13.6,0,0,442,5.6,0,0,269,3.421521
91,42,045,404800,42045404800,4048,652,468,405,63,38,17,0,8,0,154,106,0,0,48,0,0,0,0,19,4,7,1393,924,33.7,31.4,32163,43.2,10.6,36.5,947,669,278,250,37.4,302,45.1,86,12.9,31,4.6,2121,918,1203,182,8.6,1758,82.9,0,0,13,0.6,0,0,262,12.352664
92,42,045,405100,42045405100,4051,685,417,361,56,37,9,0,10,0,240,236,0,0,4,0,0,0,0,0,0,28,1674,972,41.9,27.7,30642,35.5,8.9,23.3,1013,865,148,347,40.1,351,40.6,153,17.7,14,1.6,2095,807,1288,29,1.4,2056,98.1,0,0,0,0,0,0,26,1.24105
93,42,045,404900,42045404900,4049,497,323,263,60,60,0,0,0,0,85,85,0,0,0,0,16,0,0,67,6,0,1132,655,42.1,21.1,34375,34.9,9.9,11.9,572,367,205,114,31.1,202,55,27,7.4,24,6.5,1324,672,652,118,8.9,1111,83.9,0,0,0,0,0,0,160,12.084592
94,42,045,406202,42045406202,4062.02,2670,2464,2373,91,73,18,0,0,0,30,13,0,0,17,0,0,0,0,60,20,96,4043,2861,29.2,21.8,64190,6,2.3,2.7,2418,2293,125,98,4.3,951,41.5,959,41.8,285,12.4,4809,2437,2372,4588,95.4,108,2.2,0,0,93,1.9,0,0,142,2.952797
95,42,045,403001,42045403001,4030.01,1346,1174,1033,141,141,0,0,0,0,72,19,0,10,43,0,0,0,46,43,0,11,2388,1578,33.9,27.4,58750,7.9,2.5,1.1,1225,1166,59,68,5.8,447,38.3,495,42.5,156,13.4,3002,1386,1616,2995,99.8,0,0,0,0,0,0,0,0,14,0.466356
96,42,045,401502,42045401502,4015.02,1839,1547,1447,100,100,0,0,0,0,206,49,0,0,157,0,0,0,0,78,0,8,3530,2212,37.3,26.4,51272,16.9,8.7,9.1,1912,1763,149,214,12.1,830,47.1,433,24.6,286,16.2,4249,2037,2212,2925,68.8,853,20.1,0,0,445,10.5,0,0,6,0.14121
97,42,045,400500,42045400500,4005,1659,1222,1021,201,196,0,0,0,5,352,201,0,105,46,0,0,0,0,46,0,39,3124,1898,39.2,28.7,48680,14.3,17.5,9.6,1614,1531,83,414,27,606,39.6,369,24.1,142,9.3,4008,1902,2106,1590,39.7,1524,38,15,0.4,449,11.2,0,0,305,7.60978
98,42,045,404003,42045404003,4040.03,1192,886,770,116,116,0,0,0,0,300,24,0,12,264,0,0,0,0,1,0,5,1773,1297,26.8,31.7,63792,11,6.7,7.6,1147,1033,114,137,13.3,571,55.3,232,22.5,93,9,2030,971,1059,1542,76,138,6.8,0,0,338,16.7,0,0,97,4.778325
99,42,045,407902,42045407902,4079.02,1410,1177,1160,17,17,0,0,0,0,162,19,0,0,143,0,0,0,0,0,11,60,2227,1519,31.8,30.3,92744,1.5,2.5,1.5,1209,1172,37,51,4.4,415,35.4,545,46.5,161,13.7,2667,1401,1266,2372,88.9,81,3,0,0,214,8,0,0,23,0.862392
100,42,045,407903,42045407903,4079.03,2055,1814,1711,103,103,0,0,0,0,90,0,0,12,78,0,0,0,0,26,26,99,2721,2176,20,29.8,89330,6.4,4.8,4.7,1534,1361,173,27,2,458,33.7,630,46.3,246,18.1,3395,1641,1754,3058,90.1,111,3.3,0,0,130,3.8,0,0,19,0.559647
101,42,045,406904,42045406904,4069.04,2861,2523,2309,214,187,17,10,0,0,104,10,0,16,78,0,0,0,21,80,8,125,4744,3104,34.6,26.4,85278,5.1,2.2,1.7,1995,1956,39,55,2.8,711,36.3,802,41,388,19.8,5808,2728,3080,5097,87.8,494,8.5,0,0,121,2.1,0,0,46,0.792011
102,42,045,407805,42045407805,4078.05,791,673,664,9,9,0,0,0,0,63,0,0,29,34,0,0,0,0,18,0,37,1325,882,33.4,25.7,94375,4.1,4.9,6.1,592,517,75,41,7.9,105,20.3,224,43.3,147,28.4,1691,803,888,1470,86.9,104,6.2,9,0.5,98,5.8,0,0,47,2.77942
103,42,045,400801,42045400801,4008.01,1209,853,812,41,41,0,0,0,0,293,216,0,67,10,0,0,0,0,41,11,11,1813,1376,24.1,36.2,43859,2.1,27.8,10.6,1431,997,434,252,25.3,563,56.5,159,15.9,23,2.3,2150,901,1249,413,19.2,1610,74.9,10,0.5,117,5.4,0,0,123,5.72093
104,42,045,403901,42045403901,4039.01,1483,1195,1005,190,107,45,29,0,9,139,51,0,10,78,0,0,0,0,60,50,39,2740,1743,36.4,29,53203,11.8,8,13.7,1608,1501,107,264,17.6,760,50.6,373,24.9,104,6.9,3255,1526,1729,2965,91.1,101,3.1,0,0,158,4.9,0,0,70,2.150538
105,42,045,409300,42045409300,4093,1073,902,868,34,34,0,0,0,0,121,71,0,50,0,0,0,0,5,21,0,24,1765,1201,32,27.9,83323,4.4,3.4,1.5,908,843,65,68,8.1,244,28.9,425,50.4,106,12.6,2301,1046,1255,2221,96.5,14,0.6,4,0.2,52,2.3,0,0,46,1.999131
106,42,045,405200,42045405200,4052,992,772,657,115,106,0,0,9,0,149,139,0,0,10,0,0,0,0,71,0,0,2381,1264,46.9,21.8,20254,46.4,11.8,31.4,1556,1426,130,683,47.9,561,39.3,103,7.2,79,5.5,3124,1125,1999,70,2.2,2926,93.7,0,0,10,0.3,0,0,242,7.746479
107,42,045,407803,42045407803,4078.03,2697,2374,2215,159,135,24,0,0,0,157,11,25,77,44,0,0,0,0,68,0,98,4243,2873,32.3,25.1,84284,1.8,5.1,1.7,1968,1927,41,42,2.2,527,27.3,1087,56.4,271,14.1,5429,2614,2815,5240,96.5,53,1,12,0.2,49,0.9,0,0,34,0.626266
108,42,045,404300,42045404300,4043,924,734,674,60,52,4,4,0,0,97,93,0,0,4,0,0,0,0,93,0,0,1810,1145,36.7,26.9,41832,24.3,10.3,15.2,999,877,122,151,17.2,411,46.9,246,28.1,69,7.9,2445,1163,1282,1923,78.7,300,12.3,0,0,0,0,0,0,72,2.944785
109,42,045,400700,42045400700,4007,2432,1892,1653,239,188,11,11,0,29,338,166,18,132,22,0,0,4,0,96,0,102,4335,2773,36,35,56607,15.6,19.9,21.2,1770,1633,137,241,14.8,567,34.7,464,28.4,361,22.1,5607,2587,3020,1935,34.5,1812,32.3,0,0,1651,29.4,10,0.200000,203,3.620474
110,42,045,400802,42045400802,4008.02,1657,1173,1112,61,61,0,0,0,0,375,101,23,181,70,0,0,0,0,12,19,78,2662,1822,31.6,33.1,49712,5.8,10.1,7,1353,1280,73,184,14.4,451,35.2,444,34.7,201,15.7,3209,1475,1734,2063,64.3,621,19.4,0,0,497,15.5,0,0,38,1.18417
111,42,045,405400,42045405400,4054,813,657,561,96,84,0,12,0,0,127,127,0,0,0,0,0,0,0,19,10,0,1809,1064,41.2,21.9,21671,42.7,9.9,40.5,1156,975,181,430,44.1,378,38.8,147,15.1,20,2.1,2548,984,1564,324,12.7,2048,80.4,0,0,0,0,0,0,373,14.638932
112,42,045,400900,42045400900,4009,884,714,680,34,22,0,12,0,0,75,26,0,39,10,0,0,0,0,16,14,65,1417,969,31.6,28.6,124112,2.6,4.6,3.2,578,571,7,0,0,105,18.4,309,54.1,157,27.5,1679,796,883,1407,83.8,84,5,0,0,57,3.4,0,0,59,3.513996
113,42,045,401101,42045401101,4011.01,1628,1425,1343,82,82,0,0,0,0,140,92,0,48,0,0,6,0,0,11,8,38,2373,1848,22.1,29.1,59797,11.1,17.7,10.4,1240,1178,62,91,7.7,505,42.9,444,37.7,138,11.7,3098,1538,1560,2770,89.4,294,9.5,0,0,20,0.6,0,0,18,0.58102
114,42,045,401000,42045401000,4010,1069,765,705,60,60,0,0,0,0,179,142,0,37,0,0,0,0,0,47,0,78,1635,1223,25.2,27.1,76442,9,6.9,1.1,760,713,47,63,8.8,239,33.5,248,34.8,163,22.9,1933,910,1023,1677,86.8,145,7.5,0,0,111,5.7,0,0,9,0.465598
115,42,045,403401,42045403401,4034.01,1363,1175,992,183,183,0,0,0,0,84,5,0,0,79,0,0,0,0,76,16,12,2295,1592,30.6,26.9,57833,8.7,15.9,10.1,1258,1086,172,85,7.8,410,37.8,515,47.4,76,7,2818,1391,1427,1946,69.1,776,27.5,0,0,41,1.5,0,0,103,3.655075
116,42,045,404700,42045404700,4047,1180,555,512,43,39,0,4,0,0,99,86,0,0,13,0,0,0,0,397,0,129,3439,1422,58.7,18.1,23849,33.8,13.3,41.1,1087,881,206,314,35.6,234,26.6,236,26.8,97,11,3860,1850,2010,1853,48,1733,44.9,23,0.6,77,2,0,0,151,3.911917
117,42,045,409100,42045409100,4091,2008,1679,1488,191,143,42,0,6,0,181,48,7,94,32,0,0,0,0,67,0,81,3148,2216,29.6,28.6,95504,1.7,3.9,5.1,1500,1487,13,35,2.4,574,38.6,626,42.1,252,16.9,4315,2138,2177,4149,96.2,17,0.4,11,0.3,59,1.4,0,0,160,3.707995
118,42,045,402700,42045402700,4027,1080,827,704,123,109,9,5,0,0,217,191,14,0,12,0,0,0,0,13,19,4,1892,1291,31.8,31.5,41890,22.1,20.4,15.9,917,802,115,227,28.3,249,31,212,26.4,114,14.2,2543,1297,1246,394,15.5,2059,81,0,0,18,0.7,0,0,39,1.533622
119,42,045,409701,42045409701,4097.01,3055,2266,2040,226,185,7,25,0,9,116,10,0,13,93,0,0,0,8,376,32,257,5766,3300,42.8,22.5,167823,0.9,4.2,2.8,2042,1932,110,6,0.3,281,14.5,1057,54.7,588,30.4,7199,3511,3688,6085,84.5,236,3.3,0,0,642,8.9,0,0,182,2.528129
120,42,045,400302,42045400302,4003.02,1651,1199,971,228,194,34,0,0,0,425,301,0,107,17,0,0,0,0,18,9,0,2953,2060,30.2,34.1,39328,28.3,13.7,14.2,1422,1294,128,305,23.6,602,46.5,350,27,37,2.9,4048,1829,2219,1103,27.2,2564,63.3,0,0,136,3.4,0,0,348,8.596838
121,42,045,403402,42045403402,4034.02,1555,1414,1210,204,128,76,0,0,0,86,86,0,0,0,0,0,0,0,22,8,25,2939,2095,28.7,25.7,51720,17.1,14.6,22.5,1348,1254,94,125,10,476,38,483,38.5,170,13.6,3799,1846,1953,2856,75.2,702,18.5,0,0,73,1.9,0,0,293,7.712556
122,42,045,407901,42045407901,4079.01,1917,1569,1441,128,94,11,23,0,0,175,2,0,0,173,0,0,23,0,7,0,143,3458,2085,39.7,31.4,140938,1.2,5.3,2.1,1408,1312,96,16,1.2,199,15.2,714,54.4,383,29.2,4142,1977,2165,3643,88,127,3.1,9,0.2,300,7.2,0,0,120,2.897151
123,42,045,401401,42045401401,4014.01,1050,906,858,48,47,1,0,0,0,111,47,10,19,35,0,6,0,0,18,0,9,1599,1157,27.6,33.5,60735,10.7,8.2,0,880,848,32,69,8.1,344,40.6,343,40.4,92,10.8,2026,1002,1024,1493,73.7,364,18,0,0,88,4.3,0,0,42,2.07305
124,42,045,400401,42045400401,4004.01,2170,1268,1131,137,108,19,0,10,0,742,538,17,160,27,0,10,0,23,107,0,20,3922,2509,36,32.5,28560,22.6,23.8,23.3,1973,1747,226,624,35.7,657,37.6,327,18.7,139,8,5403,2654,2749,1194,22.1,2304,42.6,0,0,1319,24.4,0,0,694,12.844716
125,42,045,402600,42045402600,4026,1224,834,785,49,46,0,0,0,3,262,112,25,66,59,0,0,0,0,106,9,13,2659,1468,44.8,28.1,38728,14,20.4,31,1169,1043,126,161,15.4,628,60.2,218,20.9,36,3.5,3940,1733,2207,1205,30.6,2673,67.8,11,0.3,13,0.3,0,0,352,8.93401
126,42,045,401700,42045401700,4017,1266,1141,983,158,132,5,0,0,21,61,35,5,8,13,0,0,0,0,30,24,10,2074,1373,33.8,27.6,50000,6.7,15.7,8.3,1041,950,91,134,14.1,370,38.9,309,32.5,137,14.4,2667,1369,1298,953,35.7,1337,50.1,0,0,239,9,0,0,140,5.249344
127,42,045,409802,42045409802,4098.02,2680,1505,1347,158,117,27,10,0,4,153,0,0,0,153,0,1,0,0,552,19,450,5088,2835,44.3,18.5,112371,0.7,3.3,0,1705,1465,240,47,3.2,623,42.5,523,35.7,272,18.6,5975,2928,3047,5191,86.9,425,7.1,4,0.1,263,4.4,0,0,282,4.719665
128,42,045,406802,42045406802,4068.02,1955,1812,1675,137,130,7,0,0,0,32,0,12,0,20,0,0,0,0,38,30,43,3404,2263,33.5,23.9,55560,7.6,8.9,6.6,1716,1573,143,120,7.6,505,32.1,593,37.7,355,22.6,4242,2114,2128,3392,80,699,16.5,0,0,0,0,0,0,10,0.235738
129,42,045,409602,42045409602,4096.02,2084,1356,1279,77,77,0,0,0,0,276,30,0,87,159,0,0,8,0,322,16,106,3956,2232,43.6,24.2,62529,2.2,3.7,0,1673,1525,148,88,5.8,890,58.4,493,32.3,54,3.5,4370,1957,2413,3676,84.1,238,5.4,0,0,330,7.6,0,0,173,3.95881
130,42,045,410301,42045410301,4103.01,3286,3015,2708,307,295,0,0,12,0,34,0,0,0,34,0,0,0,19,44,31,143,6851,3474,49.3,26.8,128514,1.6,4,1.4,2313,2232,81,89,4,387,17.3,1053,47.2,703,31.5,8193,4653,3540,6701,81.8,1035,12.6,0,0,308,3.8,0,0,218,2.660808
131,42,045,409903,42045409903,4099.03,1734,1611,1429,182,106,29,0,47,0,0,0,0,0,0,0,0,0,9,37,15,62,3182,1955,38.6,24.4,76619,0.4,6.1,0,1620,1561,59,32,2,661,42.3,619,39.7,249,16,3724,1885,1839,3431,92.1,33,0.9,39,1,190,5.1,0,0,19,0.510204
132,42,045,404102,42045404102,4041.02,2317,1984,1740,244,200,0,44,0,0,213,127,0,30,56,0,0,0,0,114,0,6,4094,2801,31.6,22.6,47396,20.1,12.3,10.9,2231,1936,295,373,19.3,662,34.2,667,34.5,234,12.1,5038,2368,2670,4196,83.3,520,10.3,0,0,92,1.8,0,0,194,3.850734
133,42,045,404600,42045404600,4046,691,487,417,70,70,0,0,0,0,136,131,0,0,5,0,0,7,0,16,5,40,1618,1005,37.9,25.6,35000,32.7,16.7,25.1,1009,776,233,188,24.2,369,47.6,102,13.1,117,15.1,2228,1055,1173,525,23.6,1569,70.4,0,0,0,0,0,0,120,5.385996
134,42,045,406300,42045406300,4063,1180,1058,1020,38,37,0,0,0,1,62,59,0,0,3,0,0,0,0,41,8,11,2286,1344,41.2,23.7,31597,26.6,12.7,21.4,1262,1171,91,279,23.8,469,40.1,284,24.3,139,11.9,3240,1572,1668,1883,58.1,1293,39.9,0,0,0,0,0,0,199,6.141975
135,42,045,410302,42045410302,4103.02,3214,2957,2750,207,197,10,0,0,0,0,0,0,0,0,0,0,0,0,42,19,196,7166,3604,49.7,29.9,71771,2.7,2.4,4.5,4250,3891,359,599,15.4,1538,39.5,1187,30.5,567,14.6,9026,4132,4894,8143,90.2,301,3.3,0,0,429,4.8,0,0,43,0.476402
136,42,045,407000,42045407000,4070,1346,1220,1111,109,74,35,0,0,0,47,0,0,0,47,0,0,0,0,0,23,56,2016,1481,26.5,28.9,75789,2.5,3.6,2.6,1164,1096,68,40,3.6,365,33.3,524,47.8,167,15.2,2544,1299,1245,2223,87.4,116,4.6,0,0,111,4.4,0,0,39,1.533019
137,42,045,406600,42045406600,4066,905,769,646,123,91,11,10,0,11,40,40,0,0,0,0,0,0,0,89,0,7,1771,1221,31.1,27.3,39167,15.3,13.7,16.7,989,832,157,175,21,360,43.3,213,25.6,84,10.1,2452,1113,1339,2004,81.7,370,15.1,0,0,1,0,0,0,46,1.87602
138,42,045,410601,42045410601,4106.01,1829,1688,1484,204,204,0,0,0,0,105,25,0,0,80,0,0,0,0,30,0,6,2786,2080,25.3,31,70360,7.6,8.9,2.2,1381,1381,0,60,4.3,687,49.7,487,35.3,147,10.6,3516,1735,1781,3298,93.8,0,0,115,3.3,12,0.3,0,0,178,5.062571
139,42,045,410602,42045410602,4106.02,2732,2377,2091,286,190,96,0,0,0,157,27,0,2,128,0,0,4,10,33,27,124,4224,3027,28.3,24,66548,5.1,4.7,6.1,1873,1832,41,62,3.4,516,28.2,783,42.7,471,25.7,5064,2550,2514,4506,89,247,4.9,0,0,244,4.8,0,0,46,0.908373
140,42,045,404004,42045404004,4040.04,3221,2675,2518,157,157,0,0,0,0,452,125,0,43,284,0,0,0,0,18,0,76,5090,3535,30.6,30.8,67310,9.2,4.7,4.6,2535,2354,181,201,8.5,650,27.6,926,39.3,577,24.5,6241,2871,3370,6040,96.8,79,1.3,0,0,43,0.7,0,0,178,2.852107
141,42,045,408001,42045408001,4080.01,2947,2639,2390,249,240,9,0,0,0,92,15,0,13,64,0,14,0,20,0,24,158,5188,3157,39.1,27.2,83152,7.2,4.7,5.3,2260,2260,0,58,2.6,633,28,1037,45.9,532,23.5,6615,3245,3370,6374,96.4,18,0.3,0,0,223,3.4,0,0,588,8.888889
142,42,045,406902,42045406902,4069.02,2528,2391,2247,144,109,35,0,0,0,68,22,0,18,28,0,0,0,0,32,0,37,4490,2843,36.7,23.7,73603,6.1,7.1,1.9,2103,2046,57,28,1.4,401,19.6,1258,61.5,359,17.5,5766,2718,3048,5760,99.9,6,0.1,0,0,0,0,0,0,155,2.688172
143,42,045,407806,42045407806,4078.06,730,647,553,94,89,5,0,0,0,59,0,0,4,55,0,0,0,0,7,0,17,1233,804,34.8,26.5,75938,4,7.3,2,645,599,46,29,4.8,185,30.9,267,44.6,118,19.7,1418,627,791,1187,83.7,124,8.7,0,0,84,5.9,0,0,0,0
144,42,045,409902,42045409902,4099.02,2213,1990,1810,180,180,0,0,0,0,39,0,0,0,39,0,0,0,21,9,12,142,3813,2328,38.9,25.9,88125,1.4,5.6,1.5,2115,1856,259,200,10.8,562,30.3,658,35.5,436,23.5,4844,2269,2575,4690,96.8,4,0.1,10,0.2,134,2.8,0,0,22,0.45417
145,42,017,101803,42017101803,1018.03,3643,3419,3150,269,269,0,0,0,0,67,0,0,0,67,0,0,0,0,10,15,132,6088,4021,34,29.4,78750,2.3,3.2,5.3,2984,2928,56,81,2.8,803,27.4,1434,49,610,20.8,7799,3669,4130,7128,91.4,72,0.9,0,0,599,7.7,0,0,45,0.576997
146,42,017,104703,42017104703,1047.03,1155,959,881,78,75,0,0,0,3,57,2,0,0,55,0,3,0,0,49,0,87,1910,1198,37.3,33.8,97601,3.5,4.3,3,973,921,52,22,2.4,303,32.9,457,49.6,139,15.1,2283,1053,1230,2126,93.1,22,1,0,0,61,2.7,0,0,73,3.197547
147,42,017,100209,42017100209,1002.09,5445,4857,4016,841,752,66,0,0,23,259,0,0,83,176,0,16,0,0,151,23,139,7687,5692,26,26.7,65993,3.3,7.8,4.6,4024,3615,409,169,4.7,1574,43.5,1402,38.8,470,13,9363,4923,4440,5626,60.1,1118,11.9,25,0.3,1965,21,0,0,673,7.187867
148,42,017,100408,42017100408,1004.08,3334,3122,2863,259,258,0,0,0,1,81,25,0,0,56,0,0,0,9,14,94,14,5241,3780,27.9,22.6,69250,4.2,8.1,3.2,2401,2142,259,15,0.7,612,28.6,1002,46.8,513,23.9,6531,3521,3010,5953,91.1,153,2.3,0,0,153,2.3,0,0,467,7.150513
149,42,017,105801,42017105801,1058.01,3372,2994,2860,134,118,0,0,0,16,109,17,0,51,41,0,0,0,0,61,15,193,5013,3602,28.1,26.7,88877,2.9,10.9,4,2429,2255,174,99,4.4,638,28.3,1005,44.6,513,22.7,6368,3156,3212,4596,72.2,649,10.2,111,1.7,467,7.3,0,0,642,10.081658
150,42,017,105808,42017105808,1058.08,1622,1561,1469,92,86,0,3,0,3,9,0,0,0,9,0,0,10,0,29,0,13,2787,1880,32.5,20.2,66085,6.6,7.5,7,1442,1311,131,34,2.6,488,37.2,588,44.9,201,15.3,3520,1829,1691,3146,89.4,110,3.1,0,0,93,2.6,0,0,129,3.664773
151,42,017,105008,42017105008,1050.08,1530,1264,1219,45,45,0,0,0,0,78,0,0,0,78,0,0,0,0,62,12,114,2811,1796,36.1,35.1,110469,2.3,1.2,1.1,1254,1238,16,0,0,201,16.2,587,47.4,450,36.3,3554,1932,1622,3390,95.4,0,0,0,0,164,4.6,0,0,203,5.711874
152,42,017,101403,42017101403,1014.03,2929,2692,2600,92,74,16,0,0,2,109,0,0,0,109,0,0,0,18,0,0,110,4545,3303,27.3,29.9,91570,3.1,2.3,0,2172,2085,87,33,1.6,455,21.8,1078,51.7,519,24.9,5635,2486,3149,5471,97.1,0,0,0,0,164,2.9,0,0,38,0.674357
153,42,017,100406,42017100406,1004.06,1761,1604,1527,77,73,4,0,0,0,97,16,0,21,60,0,0,0,0,12,0,48,3092,2013,34.9,27.6,61180,8.7,3.8,5.2,1576,1439,137,153,10.6,406,28.2,602,41.8,278,19.3,3767,1725,2042,3425,90.9,172,4.6,16,0.4,94,2.5,0,0,65,1.725511
154,42,017,104604,42017104604,1046.04,2841,2531,2412,119,119,0,0,0,0,76,55,0,0,21,0,0,0,3,52,0,179,4721,3126,33.8,30.6,96402,3.4,2.1,0.9,2567,2328,239,153,6.6,798,34.3,866,37.2,511,22,5721,2390,3331,5528,96.6,94,1.6,0,0,99,1.7,0,0,54,0.943891
155,42,017,104601,42017104601,1046.01,2341,2112,1897,215,189,0,26,0,0,56,15,0,14,27,0,0,6,0,37,0,130,3822,2602,31.9,28.9,108068,3,3.8,1.1,1737,1669,68,11,0.7,271,16.2,884,53,503,30.1,4663,2411,2252,4575,98.1,0,0,0,0,50,1.1,0,0,120,2.573451
156,42,017,100900,42017100900,1009,3980,3501,3336,165,122,0,0,0,43,183,13,0,0,170,0,0,0,17,28,19,232,5866,4499,23.3,29.1,85688,3.9,5.8,2,2657,2533,124,57,2.3,589,23.3,1251,49.4,636,25.1,7246,3701,3545,6691,92.3,171,2.4,0,0,273,3.8,0,0,176,2.428926
157,42,017,100805,42017100805,1008.05,3547,3393,3121,272,249,0,23,0,0,63,0,0,0,63,0,0,0,0,59,0,32,5088,3848,24.4,22.2,88939,2.3,4.4,1.8,2161,2019,142,42,2.1,498,24.7,888,44,591,29.3,6190,2897,3293,5793,93.6,215,3.5,0,0,71,1.1,0,0,245,3.957997
158,42,017,101611,42017101611,1016.11,3431,3117,2920,197,160,28,9,0,0,109,0,0,0,109,0,0,29,0,13,0,163,5742,3751,34.7,24.5,80478,2.7,3.9,0,2497,2459,38,34,1.4,525,21.4,1224,49.8,676,27.5,6928,3292,3636,6720,97,61,0.9,0,0,41,0.6,0,0,225,3.247691
159,42,017,105810,42017105810,1058.10,1227,1193,1040,153,111,42,0,0,0,5,5,0,0,0,0,0,9,5,1,0,14,1943,1342,30.9,21.1,70069,9.3,6.9,4.2,906,868,38,83,9.6,270,31.1,297,34.2,218,25.1,2450,1146,1304,2421,98.8,7,0.3,0,0,8,0.3,0,0,196,8
160,42,017,102700,42017102700,1027,2460,2308,2074,234,179,29,17,0,9,49,10,0,0,39,0,0,0,0,0,25,78,4467,2707,39.4,29.2,59621,2.3,10.1,1.1,2226,2176,50,163,7.5,637,29.3,891,40.9,485,22.3,5206,2285,2921,4904,94.2,101,1.9,11,0.2,147,2.8,0,0,75,1.440645
161,42,017,101603,42017101603,1016.03,1697,1588,1471,117,103,0,10,4,0,15,5,0,0,10,0,0,0,0,0,39,55,2552,1936,24.1,22.3,56273,10.1,9,11.9,1162,1140,22,71,6.2,356,31.2,431,37.8,282,24.7,3147,1414,1733,3044,96.7,4,0.1,0,0,0,0,0,0,477,15.157293
162,42,017,100807,42017100807,1008.07,1754,1611,1527,84,46,0,0,2,36,66,8,0,0,58,0,0,0,0,14,0,63,3824,1874,51,28.8,68047,0,7.5,3.1,1861,1741,120,76,4.4,713,41,743,42.7,209,12,4414,1996,2418,3800,86.1,464,10.5,0,0,56,1.3,0,0,238,5.391935
163,42,017,105600,42017105600,1056,1235,1042,976,66,66,0,0,0,0,79,0,0,12,67,0,4,0,0,31,5,74,1910,1415,25.9,30.2,78482,2,4.3,2.5,1177,1072,105,22,2.1,478,44.6,398,37.1,174,16.2,2349,1147,1202,2064,87.9,108,4.6,0,0,141,6,0,0,76,3.235419
164,42,017,100804,42017100804,1008.04,1862,1742,1507,235,209,21,0,0,5,45,0,0,0,45,0,0,11,0,0,0,64,3149,2111,33,22.4,84392,3.5,4.1,1.2,1228,1170,58,11,0.9,239,20.4,559,47.8,361,30.9,3873,2053,1820,3621,93.5,138,3.6,32,0.8,58,1.5,0,0,142,3.666408
165,42,017,102004,42017102004,1020.04,2281,2017,1853,164,150,14,0,0,0,36,0,0,18,18,0,0,0,0,81,12,135,3578,2519,29.6,29.3,88092,1.2,4,0,1785,1734,51,34,2,574,33.1,831,47.9,295,17,4514,2185,2329,4331,95.9,23,0.5,5,0.1,90,2,0,0,34,0.753212
166,42,017,104400,42017104400,1044,1198,924,855,69,69,0,0,0,0,27,0,0,0,27,0,0,0,0,99,10,138,2111,1432,32.2,36.2,84861,3.3,7.3,0,1359,1215,144,92,7.6,509,41.9,426,35.1,188,15.5,2514,1330,1184,2382,94.7,12,0.5,0,0,51,2,0,0,78,3.102625
167,42,017,101900,42017101900,1019,1933,1777,1683,94,88,0,0,0,6,52,10,0,0,42,0,9,0,0,18,13,64,3050,2115,30.7,26.9,83828,1.2,3.9,1.9,1569,1423,146,30,2.1,362,25.4,619,43.5,412,29,4035,1920,2115,3826,94.8,81,2,0,0,113,2.8,0,0,40,0.991326
168,42,017,105300,42017105300,1053,1203,998,918,80,53,22,5,0,0,81,4,0,23,54,0,0,6,4,37,5,72,1844,1299,29.6,25.8,92083,1.8,3.6,1.7,1005,964,41,31,3.2,359,37.2,385,39.9,189,19.6,2222,1018,1204,2212,99.5,0,0,0,0,6,0.3,0,0,11,0.49505
169,42,017,105202,42017105202,1052.02,2752,2540,2434,106,83,0,23,0,0,29,20,0,0,9,0,0,0,12,85,0,86,4439,3025,31.9,28.2,92222,3.8,1.5,7.2,2230,2162,68,118,5.5,770,35.6,948,43.8,326,15.1,5296,2454,2842,4932,93.1,82,1.5,0,0,86,1.6,0,0,258,4.871601
170,42,017,101100,42017101100,1011,1288,1044,854,190,149,11,6,10,14,64,37,0,0,27,0,0,6,0,85,28,61,2103,1511,28.2,23,52891,9,12.6,7.5,1021,908,113,101,11.1,350,38.5,284,31.3,173,19.1,2483,1110,1373,1999,80.5,300,12.1,0,0,66,2.7,0,0,114,4.59122
